cell_id,arm,bars,seed,primary_episodes,primary_capture,primary_crash,primary_timeout,legacy_episodes,legacy_capture,legacy_crash,legacy_timeout,raw_ledger_rows,nonprimary_tail_rows,rows_sha256,duration_s
H_historical__70bars__seed4104,H_historical,70,4104,2048,1875,102,71,2049,1891,105,53,4135,2087,0a274e72ba855c81b9c85990741eb03a12e7fe25340f4ca76617975789656738,360
E0_static__70bars__seed4104,E0_static,70,4104,2048,1737,130,181,2048,1765,127,156,3556,1508,0a1bf878f0b78b3ed1d045d7cec4d8ec5c7a79a4aa457eb90a977fe2e6012772,346
E1_cv__70bars__seed4104,E1_cv,70,4104,2048,1807,125,116,2051,1833,126,92,3492,1444,53c6e9f49b32f0b6dc8e1d4fbf5c49720c58c12aa947ef58f2e32637eae46069,351
E2_obstacle_aware__70bars__seed4104,E2_obstacle_aware,70,4104,2048,1908,119,21,2049,1909,125,15,3627,1579,3dec24fefad7b551360d1cab387e41c0daa1d5da190c230ad6c4c19008bb2ba9,291
H_historical__115bars__seed4104,H_historical,115,4104,2048,1863,121,64,2048,1874,119,55,3065,1017,f82814f5979e99802deb7659c36df50676e4a39c264a51d76535dac218e4ecd4,321
E0_static__115bars__seed4104,E0_static,115,4104,2048,1709,136,203,2048,1747,135,166,3527,1479,33ff47f7defc0492473d1b9ff25fcd0f186e37b0ee573030244be715833b1087,411
E1_cv__115bars__seed4104,E1_cv,115,4104,2048,1806,134,108,2049,1817,139,93,3468,1420,0dc0a8743facd1509aad1a59c52a8d4711e0ab5d1773eb534054e52cbad71086,401
E2_obstacle_aware__115bars__seed4104,E2_obstacle_aware,115,4104,2048,1875,150,23,2049,1882,151,16,3129,1081,c27633347228d6634ab17c9e46eaf14f73e7d12e483b916526bafbdd3dacc95f,296
H_historical__160bars__seed4104,H_historical,160,4104,2048,1775,179,94,2048,1800,175,73,3690,1642,223824210b6b8406ccc4796397ed3d6aadced3a5307f92b684200399ae6b1ed9,433
E0_static__160bars__seed4104,E0_static,160,4104,2048,1692,167,189,2048,1721,178,149,3855,1807,64ec12f35cc9405db05b123fb30caf66aa0cc4c4ff1b7788ea78f6d2f915a99b,492
E1_cv__160bars__seed4104,E1_cv,160,4104,2048,1713,207,128,2048,1731,211,106,3149,1101,9a5f6b60ade32b608176566376e5adf68911035ccc9994012af16a1c5246f7a9,410
E2_obstacle_aware__160bars__seed4104,E2_obstacle_aware,160,4104,2048,1807,194,47,2049,1813,192,44,3263,1215,0e5fec7f276482cd007dee453b585c2094be4045f701a0836b1994a3d86de2fb,361
H_historical__205bars__seed4104,H_historical,205,4104,2048,1682,294,72,2049,1689,303,57,3529,1481,7cb2860d18da54157260a936e0e5a1e876a0ae055d47e567c37b934537709fae,472
E0_static__205bars__seed4104,E0_static,205,4104,2048,1601,289,158,2048,1619,302,127,3132,1084,b0f3da50f33869365e2ac3fd768bed8eb38cb28132bdc7a39acbd970df6a65e2,448
E1_cv__205bars__seed4104,E1_cv,205,4104,2048,1613,351,84,2048,1623,354,71,3412,1364,0c0d6c84fafb66ea37fc0e1f5c38c3bb38e1af1fc31fc6f43c13dc2c7ca3b806,494
E2_obstacle_aware__205bars__seed4104,E2_obstacle_aware,205,4104,2048,1705,312,31,2048,1704,323,21,3248,1200,fb516740aa6719d025a45c92bc8f0a2952414f69d4a5f74f3a9887f5ed596494,413
H_historical__70bars__seed4105,H_historical,70,4105,2048,1866,111,71,2048,1892,105,51,3943,1895,4b0f37a0f59539575708b7fcc7e0ff8fa84c82f33bd2834c5704defe345ceda0,359
E0_static__70bars__seed4105,E0_static,70,4105,2048,1726,137,185,2049,1767,134,148,4080,2032,853675beda410844a862c37644d61de8357cae823c93379c4f7a0e2ed3026222,411
E1_cv__70bars__seed4105,E1_cv,70,4105,2048,1788,143,117,2048,1824,132,92,3510,1462,88ce0e2fabcede02399d27ada9c108e10e2e8dc2cea0ca8b825051d84f8582ed,360
E2_obstacle_aware__70bars__seed4105,E2_obstacle_aware,70,4105,2048,1914,110,24,2049,1921,108,20,3440,1392,7dc43af548837a8b49aa7b32acb13316f91adf364e892b95519ce708822fe032,288
H_historical__115bars__seed4105,H_historical,115,4105,2048,1847,129,72,2048,1858,133,57,3588,1540,5f60372803fec9f577dfbc6d998fc6597ad30a3041a6d58a4a45ed388a0e8865,368
E0_static__115bars__seed4105,E0_static,115,4105,2048,1720,130,198,2048,1766,127,155,3672,1624,5f66c3a4e84aa1774be1bfeec36bd7d6ed8acee13a5bea61354af23ced913759,425
E1_cv__115bars__seed4105,E1_cv,115,4105,2048,1782,159,107,2048,1797,163,88,3381,1333,7c81c009ddc98e2db6a08caa6836408dc04f91f616dbd06dcacf6b8edc6ef612,401
E2_obstacle_aware__115bars__seed4105,E2_obstacle_aware,115,4105,2048,1891,136,21,2050,1897,136,17,3527,1479,07907312b56049b5c40dcc009bd5385101bc3d7000b0a8f4d68a10deec00760f,338
H_historical__160bars__seed4105,H_historical,160,4105,2048,1769,205,74,2048,1788,200,60,3535,1487,a6a30f0891ce200691b23f941f8fa40c2ce2017ff2b2bbcb48011ed57e905d52,413
E0_static__160bars__seed4105,E0_static,160,4105,2048,1673,164,211,2048,1695,163,190,3599,1551,3d8387df98e95e90a861305694354e2c50307294da58e72fd9249c121bfd97b5,485
E1_cv__160bars__seed4105,E1_cv,160,4105,2048,1742,201,105,2048,1753,197,98,3615,1567,416eea993a7e0999ba116ee4fafd46687a444048b5f5162c7e47ef0da56de12d,477
E2_obstacle_aware__160bars__seed4105,E2_obstacle_aware,160,4105,2048,1786,209,53,2050,1790,221,39,3490,1442,6d68bdb00516f7cf2265800813e669b65e31f4bd9137d639527786dec3d9446e,401
H_historical__205bars__seed4105,H_historical,205,4105,2048,1716,272,60,2048,1722,279,47,3271,1223,7481ae93c3bd391a2ffd02664475d34dcc8482d9f8b6ef477e8546066ad3bfee,440
E0_static__205bars__seed4105,E0_static,205,4105,2048,1599,293,156,2051,1612,300,139,3754,1706,be3953f4328bffd1a6bf2c4894e24f3a48fa70bbd4c1b4130ebd8f16a48eb5e8,529
E1_cv__205bars__seed4105,E1_cv,205,4105,2048,1621,340,87,2048,1629,349,70,3302,1254,2f4ab139ce05aefd9caa1bb9706043f91624d73e95a9da8748c1e15953916596,485
E2_obstacle_aware__205bars__seed4105,E2_obstacle_aware,205,4105,2048,1711,307,30,2048,1714,310,24,3385,1337,c84ca06607c2f25b558708d6a7859d148605c98d0acb32adcf70bd7d66c6229f,426
H_historical__70bars__seed4106,H_historical,70,4106,2048,1869,108,71,2049,1884,116,49,3955,1907,c28ae381891c50942aa3eb4723a3f82804c145c1b0d3a68ac76810712f3c0f2c,350
E0_static__70bars__seed4106,E0_static,70,4106,2048,1725,135,188,2048,1765,140,143,3536,1488,91c896b577f5103e5a8544863bfb606c77eb9ed2d1ad2720f4b30bb12fb9a3c5,356
E1_cv__70bars__seed4106,E1_cv,70,4106,2048,1777,122,149,2048,1787,137,124,3430,1382,e08889ac59dabd1b787a9db4eba262a37111adbd56b0b47d7bd334967d2f9158,366
E2_obstacle_aware__70bars__seed4106,E2_obstacle_aware,70,4106,2048,1923,104,21,2050,1928,104,18,3995,1947,f494b40bb74a0cb7c67c8fee46023d32efe8315533b2a4c17832d5f958561d9c,326
H_historical__115bars__seed4106,H_historical,115,4106,2048,1855,142,51,2048,1867,138,43,4356,2308,0ba5392a4345c518330be481ff8d139b3a880114580c89f5bfd77fc459b2a3e1,444
E0_static__115bars__seed4106,E0_static,115,4106,2048,1710,135,203,2048,1745,137,166,3859,1811,f4fec5a3c63082f861104228985ddc8d9dba76259efade5d00db596936fab62d,443
E1_cv__115bars__seed4106,E1_cv,115,4106,2048,1771,152,125,2049,1804,153,92,3644,1596,5f64652e316b0330a8d6d7994e03627ec2bf093a81d80271bb011486fe206ef6,437
